'2022-10-18 21:34:09+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 21:34:09+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 21:34:10+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 21:34:10+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 21:34:11+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
'2022-10-18 21:34:34+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 21:34:34+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 21:34:34+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 21:34:34+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 21:34:38+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
'2022-10-18 22:07:42+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 22:07:42+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:07:43+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 22:07:43+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:07:44+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
'2022-10-18 22:08:21+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 22:08:21+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:08:21+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 22:08:21+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:08:22+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
'2022-10-18 22:11:06+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 22:11:06+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:11:06+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 22:11:06+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:11:07+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
'2022-10-18 22:13:48+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 22:13:48+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:13:48+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 22:13:48+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:13:49+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
'2022-10-18 22:13:51+0200 | root | Downloading data for day: 2022-10-18'
'2022-10-18 22:13:51+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:13:51+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /account/v1.0/token?appId=202110223428296&language=en HTTP/1.1" 200 None'
'2022-10-18 22:13:51+0200 | urllib3.connectionpool | Starting new HTTPS connection (1): api.solarmanpv.com:443'
'2022-10-18 22:13:51+0200 | urllib3.connectionpool | https://api.solarmanpv.com:443 "POST /station/v1.0/history?language=en HTTP/1.1" 200 None'
